date,id,price,bedrooms,bathrooms,m2_living,m2_lot,floors,waterfront,view,condition,grade,m2_above,m2_basement,yr_built,yr_renovated,zipcode,lat,long,m2_living15,m2_lot15,price_m2
2014-10-13,7129300520,221900.0,3,1.0,109.62554,524.9019499999999,1.0,0,0,3,7,109.62554,0.0,1955,0,98178,47.5112,-122.257,124.49002,524.9019499999999,2024.163347336761
2014-12-09,6414100192,538000.0,3,2.25,238.76071,672.803526,2.0,0,0,3,7,201.59951,37.1612,1951,1991,98125,47.721,-122.319,157.00607,709.686017,2253.302061298109
2015-02-25,5631500400,180000.0,2,1.0,71.53531,929.03,1.0,0,0,3,6,71.53531,0.0,1933,0,98028,47.7379,-122.233,252.69616,748.983986,2516.239882094591
2014-12-09,2487200875,604000.0,4,3.0,182.08988,464.515,1.0,0,0,5,7,97.54814999999999,84.54173,1965,0,98136,47.5208,-122.393,126.34808,464.515,3317.0432096500917
2015-02-18,1954400510,510000.0,3,2.0,156.07704,750.65624,1.0,0,0,3,8,156.07704,0.0,1987,0,98074,47.6168,-122.045,167.2254,697.051209,3267.6170691089474
2014-05-12,7237550310,1225000.0,4,4.5,503.53426,9469.60279,1.0,0,0,3,11,361.39267,142.14159,2001,0,98053,47.6561,-122.005,442.21828,9469.60279,2432.8036785421514
2014-06-27,1321400060,257500.0,3,2.25,159.328645,633.505557,2.0,0,0,3,7,159.328645,0.0,1995,0,98003,47.3097,-122.327,207.916914,633.505557,1616.1563415040655
2015-01-15,2008000270,291850.0,3,1.5,98.47718,902.181033,1.0,0,0,3,7,98.47718,0.0,1963,0,98198,47.4095,-122.315,153.28995,902.181033,2963.6307619694226
2015-04-15,2414600126,229500.0,3,1.0,165.36734,693.98541,1.0,0,0,3,7,97.54814999999999,67.81919,1960,0,98146,47.5123,-122.337,165.36734,753.722039,1387.81938440807
2015-03-12,3793500160,323000.0,3,2.5,175.58667,609.44368,2.0,0,0,3,7,175.58667,0.0,2003,0,98038,47.3684,-122.031,222.03817,703.27571,1839.547387053926
2015-04-03,1736800520,662500.0,3,2.5,330.73468,910.0777879999999,1.0,0,0,3,8,172.79958,157.9351,1965,0,98007,47.6007,-122.145,205.31563,829.159275,2003.11621387875
2014-05-27,9212900260,468000.0,2,1.0,107.76748,557.418,1.0,0,0,4,7,79.89658,27.8709,1942,0,98115,47.69,-122.292,123.56099,557.418,4342.682968925319
2014-05-28,114101516,310000.0,3,1.0,132.85129,1848.862603,1.5,0,0,4,7,132.85129,0.0,1927,0,98028,47.7558,-122.229,165.36734,1179.589391,2333.4361299766074
2014-10-07,6054650070,400000.0,3,1.75,127.27711,899.30104,1.0,0,0,4,7,127.27711,0.0,1977,0,98074,47.6127,-122.045,127.27711,948.353824,3142.7489200532605
2015-03-12,1175000570,530000.0,5,2.0,168.15443,450.57955,1.5,0,0,3,7,168.15443,0.0,1900,0,98107,47.67,-122.394,126.34808,450.57955,3151.864628246785
2015-01-24,9297300055,650000.0,4,3.0,274.06385,464.515,2.0,0,3,3,9,183.94794,90.11591,1979,0,98126,47.5714,-122.375,198.81242,371.612,2371.710096023244
2014-07-31,1875500060,395000.0,3,2.0,175.58667,1304.35812,2.0,0,0,3,7,175.58667,0.0,1994,0,98019,47.7277,-121.962,175.58667,1302.314254,2249.6012937656374
2014-05-29,6865200140,485000.0,4,1.0,148.6448,399.4829,1.5,0,0,4,7,148.6448,0.0,1916,0,98103,47.6648,-122.343,149.57383,399.4829,3262.81174988967
2014-12-05,16000397,189000.0,2,1.0,111.4836,915.09455,1.0,0,0,4,7,111.4836,0.0,1921,0,98002,47.3089,-122.21,98.47718,473.340785,1695.3166205612306
2015-04-24,7983200060,230000.0,3,1.0,116.12875,908.033922,1.0,0,0,4,7,116.12875,0.0,1969,0,98003,47.3343,-122.306,118.91584,822.19155,1980.5603694175645
2014-05-14,6300500875,385000.0,4,1.75,150.50286,462.65694,1.0,0,0,4,7,79.89658,70.60628,1947,0,98133,47.7025,-122.341,130.0642,462.65694,2558.0909226575495
2014-08-26,2524049179,2000000.0,3,2.75,283.35415,4168.278901,1.0,0,4,3,9,216.46399,66.89016,1968,0,98040,47.5316,-122.233,381.83133,1889.275408,7058.304951595027
2014-07-03,7137970340,285000.0,5,2.5,210.88981,585.2889,2.0,0,0,3,8,210.88981,0.0,1995,0,98092,47.3266,-122.169,208.10272,650.785515,1351.416647395149
2014-05-16,8091400200,252700.0,2,1.5,99.40621,895.863629,1.0,0,0,3,7,99.40621,0.0,1985,0,98030,47.3533,-122.166,113.34166,779.084558,2542.0947041437353
